,output_dim,base_filters,kernel_size,activation,nblocks,pool,dropout,closer,metrics,epochs,batch_size,optimizer,accuracy,loss,val_accuracy,val_loss,len_dataset,n_features,dominant_class,thickness
0,2,32,3,relu,2,2,False,True,accuracy,12,32,adam,0.49828124046325684,0.6931953430175781,0.4893749952316284,0.693315863609314,8000,150,0.5,3
1,2,32,3,relu,2,2,False,True,accuracy,12,32,rmsprop,0.5026562213897705,0.6931911706924438,0.4893749952316284,0.6932705044746399,8000,150,0.5,3
2,2,32,3,relu,2,2,False,True,accuracy,6,32,sgd,0.49796876311302185,0.6931989789009094,0.4893749952316284,0.69322669506073,8000,150,0.5,3
3,2,32,3,relu,2,2,False,False,accuracy,12,32,adam,0.5026562213897705,0.6932597160339355,0.4893749952316284,0.6933256387710571,8000,150,0.5,3
4,2,32,3,relu,2,2,False,False,accuracy,6,32,rmsprop,0.4998437464237213,0.6932206153869629,0.5106250047683716,0.6930933594703674,8000,150,0.5,3
5,2,32,3,relu,2,2,False,False,accuracy,8,32,sgd,0.5026562213897705,0.6931934356689453,0.4893749952316284,0.6932681202888489,8000,150,0.5,3
6,2,32,3,relu,2,2,True,True,accuracy,8,32,adam,0.9801562428474426,0.06046713516116142,0.7099999785423279,1.317664384841919,8000,150,0.5,3
7,2,32,3,relu,2,2,True,True,accuracy,13,32,rmsprop,0.5026562213897705,0.6931946277618408,0.4893749952316284,0.6931564807891846,8000,150,0.5,3
8,2,32,3,relu,2,2,True,True,accuracy,11,32,sgd,0.49421873688697815,0.6931771636009216,0.4893749952316284,0.6932293176651001,8000,150,0.5,3
9,2,32,3,relu,2,2,True,False,accuracy,8,32,adam,0.9809374809265137,0.054586008191108704,0.7362499833106995,1.1464166641235352,8000,150,0.5,3
10,2,32,3,relu,2,2,True,False,accuracy,8,32,rmsprop,0.9828125238418579,0.04841698333621025,0.71875,1.5054022073745728,8000,150,0.5,3
11,2,32,3,relu,2,2,True,False,accuracy,6,32,sgd,0.5026562213897705,0.6932095289230347,0.4893749952316284,0.6932891011238098,8000,150,0.5,3
12,2,32,3,relu,3,2,False,True,accuracy,9,32,adam,0.9482812285423279,0.14745570719242096,0.7293750047683716,0.8728735446929932,8000,150,0.5,3
13,2,32,3,relu,3,2,False,True,accuracy,12,32,rmsprop,0.5026562213897705,0.6932181715965271,0.4893749952316284,0.6932966113090515,8000,150,0.5,3
14,2,32,3,relu,3,2,False,True,accuracy,9,32,sgd,0.9831249713897705,0.04959569871425629,0.7450000047683716,1.303612232208252,8000,150,0.5,3
15,2,32,3,relu,3,2,False,False,accuracy,8,32,adam,0.9764062762260437,0.07007639855146408,0.7262499928474426,0.9711633920669556,8000,150,0.5,3
16,2,32,3,relu,3,2,False,False,accuracy,12,32,rmsprop,0.9868749976158142,0.041049785912036896,0.715624988079071,1.2082643508911133,8000,150,0.5,3
17,2,32,3,relu,3,2,False,False,accuracy,8,32,sgd,0.9814062714576721,0.055548883974552155,0.7275000214576721,1.2837721109390259,8000,150,0.5,3
18,2,32,3,relu,3,2,True,True,accuracy,9,32,adam,0.971875011920929,0.0759267657995224,0.7231249809265137,1.0509579181671143,8000,150,0.5,3
19,2,32,3,relu,3,2,True,True,accuracy,6,32,rmsprop,0.49921876192092896,0.6931991577148438,0.4893749952316284,0.6931790709495544,8000,150,0.5,3
20,2,32,3,relu,3,2,True,True,accuracy,9,32,sgd,0.5026562213897705,0.6931894421577454,0.4893749952316284,0.6932386755943298,8000,150,0.5,3
21,2,32,3,relu,3,2,True,False,accuracy,8,32,adam,0.9790624976158142,0.06078748404979706,0.7231249809265137,1.14804208278656,8000,150,0.5,3
22,2,32,3,relu,3,2,True,False,accuracy,9,32,rmsprop,0.5026562213897705,0.6932333111763,0.4893749952316284,0.6933383941650391,8000,150,0.5,3
23,2,32,3,relu,3,2,True,False,accuracy,6,32,sgd,0.49953123927116394,0.6932072639465332,0.4893749952316284,0.6933532953262329,8000,150,0.5,3
24,2,32,3,relu,4,2,False,True,accuracy,7,32,adam,0.9767187237739563,0.06841084361076355,0.6875,1.2919505834579468,8000,150,0.5,3
25,2,32,3,relu,4,2,False,True,accuracy,8,32,rmsprop,0.5026562213897705,0.6932123303413391,0.4893749952316284,0.6932670474052429,8000,150,0.5,3
26,2,32,3,relu,4,2,False,True,accuracy,9,32,sgd,0.49953123927116394,0.6932147741317749,0.4893749952316284,0.6933684349060059,8000,150,0.5,3
27,2,32,3,relu,4,2,False,False,accuracy,20,32,adam,0.5026562213897705,0.6932483911514282,0.4893749952316284,0.6932725310325623,8000,150,0.5,3
