,Unnamed: 0,output_dim,embedding,nodes,activation,regularizer,stacking,dropout,optimizer,bidirectional,epochs,batch_size,method,accuracy,loss,val_accuracy,val_loss,len_dataset,n_features,dominant_class
0,0.0,3,12300,64,tanh,,False,False,adam,False,7,32,GRU,0.8441522121429443,0.3070916533470154,0.5659955143928528,1.194259524345398,8936,17,0.6029543419874664
1,1.0,3,12300,64,tanh,,True,False,adam,False,7,32,GRU,0.8400951027870178,0.3104480504989624,0.577740490436554,1.1379142999649048,8936,17,0.6029543419874664
2,2.0,3,12300,64,tanh,L1,False,False,adam,False,7,32,GRU,0.8407946228981018,0.31017303466796875,0.576621949672699,1.1284215450286863,8936,17,0.6029543419874664
3,3.0,3,12300,64,tanh,L1,True,False,adam,False,6,32,GRU,0.8375769257545471,0.334755003452301,0.576621949672699,0.9938499331474304,8936,17,0.6029543419874664
4,0.0,2,45589,64,tanh,,False,False,adam,False,6,32,GRU,0.625,1.13502836227417,0.0,2.678114414215088,360,1724,0.5
5,1.0,2,45589,64,tanh,,False,True,adam,False,11,32,GRU,1.0,0.07964976876974106,0.6527777910232544,0.7363020777702332,360,1724,0.5
6,2.0,2,45589,64,tanh,,True,False,adam,False,10,32,GRU,1.0,0.046720489859580994,0.5277777910232544,1.0191513299942017,360,1724,0.5
7,3.0,2,45589,64,tanh,,True,True,adam,False,6,32,GRU,0.625,1.102821946144104,0.0,2.674014091491699,360,1724,0.5
0,,2,45589,32,tanh,L1,False,False,adam,False,35,32,GRU,0.9895833134651184,0.08349606394767761,0.4583333432674408,1.2623639106750488,360,1724,0.5
1,,2,45589,32,tanh,L1,False,False,adam,False,12,32,LSTM,0.9930555820465088,0.5592237114906311,0.4722222089767456,1.81052565574646,360,1724,0.5
2,,2,45589,32,tanh,L1,False,False,rmsprop,False,38,32,GRU,0.9965277910232544,0.05491538345813751,0.4722222089767456,1.2655423879623413,360,1724,0.5
3,,2,45589,32,tanh,L1,False,False,rmsprop,False,11,32,LSTM,0.9895833134651184,0.6562552452087402,0.5,1.8375996351242065,360,1724,0.5
4,,2,45589,32,tanh,L1,False,True,adam,False,11,32,GRU,0.9861111044883728,0.6458783745765686,0.4166666567325592,1.9744133949279785,360,1724,0.5
5,,2,45589,32,tanh,L1,False,True,adam,False,28,32,LSTM,0.9895833134651184,0.08198297023773193,0.4305555522441864,1.2100344896316528,360,1724,0.5
6,,2,45589,32,tanh,L1,False,True,rmsprop,False,24,32,GRU,0.9930555820465088,0.09505915641784668,0.4583333432674408,1.5486583709716797,360,1724,0.5
7,,2,45589,32,tanh,L1,False,True,rmsprop,False,12,32,LSTM,0.9930555820465088,0.6053558588027954,0.4722222089767456,1.925863265991211,360,1724,0.5
8,,2,45589,32,tanh,L1,True,False,adam,False,12,32,GRU,0.9861111044883728,0.5859078168869019,0.4861111044883728,1.7962502241134644,360,1724,0.5
9,,2,45589,32,tanh,L1,True,False,adam,False,32,32,LSTM,0.9895833134651184,0.061277277767658234,0.4305555522441864,1.5366116762161255,360,1724,0.5
10,,2,45589,32,tanh,L1,True,False,rmsprop,False,31,32,GRU,0.9930555820465088,0.08192530274391174,0.4583333432674408,1.1529085636138916,360,1724,0.5
11,,2,45589,32,tanh,L1,True,False,rmsprop,False,11,32,LSTM,0.9895833134651184,0.6664007902145386,0.5138888955116272,1.9703339338302612,360,1724,0.5
12,,2,45589,32,tanh,L1,True,True,adam,False,21,32,GRU,0.9930555820465088,0.14955951273441315,0.4027777910232544,1.5892090797424316,360,1724,0.5
13,,2,45589,32,tanh,L1,True,True,adam,False,22,32,LSTM,0.9826388955116272,0.12853401899337769,0.4444444477558136,1.2887927293777466,360,1724,0.5
14,,2,45589,32,tanh,L1,True,True,rmsprop,False,11,32,GRU,0.9791666865348816,0.6511130928993225,0.4583333432674408,1.7785401344299316,360,1724,0.5
15,,2,45589,32,tanh,L1,True,True,rmsprop,False,12,32,LSTM,0.9861111044883728,0.5732767581939697,0.4722222089767456,1.783721923828125,360,1724,0.5
16,,2,45589,32,tanh,,False,False,adam,False,11,32,GRU,0.9861111044883728,0.660991907119751,0.4305555522441864,1.7416391372680664,360,1724,0.5
17,,2,45589,32,tanh,,False,False,adam,False,12,32,LSTM,0.9895833134651184,0.5902918577194214,0.4166666567325592,1.7784044742584229,360,1724,0.5
18,,2,45589,32,tanh,,False,False,rmsprop,False,12,32,GRU,0.9930555820465088,0.5702475309371948,0.4027777910232544,1.7750988006591797,360,1724,0.5
19,,2,45589,32,tanh,,False,False,rmsprop,False,11,32,LSTM,0.9861111044883728,0.6568117141723633,0.4722222089767456,1.737229585647583,360,1724,0.5
20,,2,45589,32,tanh,,False,True,adam,False,34,32,GRU,0.9930555820465088,0.18098394572734833,0.4583333432674408,1.3884506225585938,360,1724,0.5
21,,2,45589,32,tanh,,False,True,adam,False,11,32,LSTM,0.9930555820465088,0.6666983366012573,0.4722222089767456,1.7156260013580322,360,1724,0.5
22,,2,45589,32,tanh,,False,True,rmsprop,False,12,32,GRU,0.9930555820465088,0.5800307393074036,0.4722222089767456,1.6407421827316284,360,1724,0.5
23,,2,45589,32,tanh,,False,True,rmsprop,False,14,32,LSTM,0.9895833134651184,0.4344221353530884,0.4722222089767456,1.631201982498169,360,1724,0.5
24,,2,45589,32,tanh,,True,False,adam,False,11,32,GRU,0.9861111044883728,0.6750705242156982,0.4305555522441864,1.993323802947998,360,1724,0.5
25,,2,45589,32,tanh,,True,False,adam,False,11,32,LSTM,0.9895833134651184,0.6545984148979187,0.4444444477558136,1.9036306142807007,360,1724,0.5
26,,2,45589,32,tanh,,True,False,rmsprop,False,11,32,GRU,0.9861111044883728,0.6629655361175537,0.4722222089767456,1.893262267112732,360,1724,0.5
27,,2,45589,32,tanh,,True,False,rmsprop,False,13,32,LSTM,0.9895833134651184,0.5053050518035889,0.4583333432674408,1.7594778537750244,360,1724,0.5
28,,2,45589,32,tanh,,True,True,adam,False,11,32,GRU,0.9895833134651184,0.6604057550430298,0.4027777910232544,2.100109338760376,360,1724,0.5
29,,2,45589,32,tanh,,True,True,adam,False,11,32,LSTM,0.9861111044883728,0.6381305456161499,0.4444444477558136,1.7201868295669556,360,1724,0.5
30,,2,45589,32,tanh,,True,True,rmsprop,False,28,32,GRU,0.9930555820465088,0.07928600162267685,0.4305555522441864,1.309437870979309,360,1724,0.5
31,,2,45589,32,tanh,,True,True,rmsprop,False,17,32,LSTM,0.9895833134651184,0.2884467542171478,0.4166666567325592,1.6077831983566284,360,1724,0.5
32,,2,45589,32,relu,L1,False,False,adam,False,11,32,GRU,0.9861111044883728,0.6499440670013428,0.4722222089767456,1.8300306797027588,360,1724,0.5
33,,2,45589,32,relu,L1,False,False,adam,False,13,32,LSTM,0.9895833134651184,0.5136650204658508,0.5138888955116272,1.6996958255767822,360,1724,0.5
34,,2,45589,32,relu,L1,False,False,rmsprop,False,11,32,GRU,0.9861111044883728,0.6671692728996277,0.4305555522441864,2.138715982437134,360,1724,0.5
35,,2,45589,32,relu,L1,False,False,rmsprop,False,11,32,LSTM,0.9826388955116272,0.6199101805686951,0.4444444477558136,1.86644446849823,360,1724,0.5
36,,2,45589,32,relu,L1,False,True,adam,False,11,32,GRU,0.9895833134651184,0.6546386480331421,0.4305555522441864,1.8157007694244385,360,1724,0.5
37,,2,45589,32,relu,L1,False,True,adam,False,11,32,LSTM,0.9895833134651184,0.6630755662918091,0.4722222089767456,1.9786993265151978,360,1724,0.5
38,,2,45589,32,relu,L1,False,True,rmsprop,False,11,32,GRU,0.9930555820465088,0.6491749286651611,0.5,1.83856201171875,360,1724,0.5
39,,2,45589,32,relu,L1,False,True,rmsprop,False,11,32,LSTM,0.9930555820465088,0.6533786058425903,0.4583333432674408,1.9096109867095947,360,1724,0.5
40,,2,45589,32,relu,L1,True,False,adam,False,11,32,GRU,0.9895833134651184,0.6598576903343201,0.4027777910232544,1.9710407257080078,360,1724,0.5
41,,2,45589,32,relu,L1,True,False,adam,False,33,32,LSTM,0.9895833134651184,0.06070837005972862,0.4444444477558136,1.3184419870376587,360,1724,0.5
42,,2,45589,32,relu,L1,True,False,rmsprop,False,29,32,GRU,0.9895833134651184,0.07488863915205002,0.4861111044883728,1.2036951780319214,360,1724,0.5
43,,2,45589,32,relu,L1,True,False,rmsprop,False,12,32,LSTM,0.9895833134651184,0.588822603225708,0.4583333432674408,1.6877466440200806,360,1724,0.5
44,,2,45589,32,relu,L1,True,True,adam,False,37,32,GRU,0.9895833134651184,0.05647410824894905,0.4583333432674408,1.2760893106460571,360,1724,0.5
45,,2,45589,32,relu,L1,True,True,adam,False,27,32,LSTM,0.9826388955116272,0.07837243378162384,0.4722222089767456,1.2491008043289185,360,1724,0.5
